-80.42810399546353	37.24599135078051
-80.4248402905526	37.24011576236389
-80.42483595193494	37.24010695998561
-80.42483249699286	37.24009777473429
-80.42482995899935	37.24008829506892
-80.42482836239665	37.24007861228387
-80.42482772256095	37.24006881962964
-80.42482804565418	37.24005901141485
-80.4248293285648	37.24004928209797
-80.42483155893767	37.24003972537765
-80.42483471529307	37.24003043329031
-80.42483876723361	37.240021495323845
-80.42484367573684	37.24001299755575
-80.42484939353123	37.24000502182419
-80.42485586555127	37.239997644939805
-80.42486302946787	37.23999093794604
-80.4248708162886	37.23998496543489
-80.42487915102214	37.23997978492493
-80.43431318632494	37.23473947448033
-80.43432198870322	37.23473513586268
-80.43433117395455	37.2347316809206
-80.43434065361991	37.23472914292709
-80.43435033640496	37.23472754632439
-80.43436012905919	37.23472690648868
-80.43436993727398	37.234727229581914
-80.43437966659086	37.23472851249253
-80.43438922331119	37.2347307428654
-80.43439851539851	37.234733899220814
-80.43440745336498	37.234737951161335
-80.43441595113308	37.23474285966458
-80.43442392686464	37.23474857745896
-80.43443130374902	37.234755049479
-80.43443801074278	37.2347622133956
-80.43444398325393	37.234770000216336
-80.4344491637639	37.234778334949866
-80.43771286867485	37.24065392336649
-80.43771720729251	37.24066272574477
-80.43772066223458	37.24067191099609
-80.43772320022809	37.24068139066146
-80.43772479683079	37.24069107344651
-80.4377254366665	37.24070086610074
-80.43772511357326	37.24071067431553
-80.43772383066265	37.24072040363241
-80.43772160028978	37.24072996035273
-80.43771844393437	37.24073925244007
-80.43771439199384	37.240748190406535
-80.43770948349061	37.24075668817463
-80.43770376569621	37.24076466390619
-80.43769729367618	37.240772040790574
-80.43769012975957	37.24077874778434
-80.43768234293884	37.24078472029549
-80.4376740082053	37.24078990080545
-80.42823997290249	37.246030211250044
-80.42823117052421	37.246034549867694
-80.42822198527288	37.24603800480977
-80.42821250560752	37.246040542803286
-80.42820282282247	37.24604213940598
-80.42819303016825	37.24604277924169
-80.42818322195345	37.24604245614846
-80.42817349263657	37.24604117323784
-80.42816393591625	37.24603894286497
-80.42815464382892	37.24603578650956
-80.42814570586245	37.24603173456904
-80.42813720809436	37.246026826065794
-80.42812923236279	37.246021108271414
-80.42812185547841	37.246014636251374
-80.42811514848465	37.246007472334774
-80.4281091759735	37.245999685514036
-80.43611964447118	37.23899547558022
-80.43601813234261	37.238944226609235
-80.43590424068616	37.238996461137006
-80.43586834005534	37.23899695391533
-80.43573216524871	37.23854458199604
-80.43571112005134	37.23850713060433
-80.43559970430046	37.23816218270065
-80.43557865910306	37.23812473111897
-80.43545981563547	37.2378093486404
-80.4354573397299	37.23776795459212
-80.43533849626229	37.2374259600379
-80.4361778282522	37.239009273374116
-80.43582810658974	37.23952865992272
-80.43582563068415	37.23953161657215
-80.43539420413772	37.24010372605346
-80.43539265669645	37.24010421882469
-80.4349216156608	37.24120309048132
-80.434920377708	37.241202597717354
-80.43413613461715	37.24202550905526
-80.43413922949912	37.24202550905527
-80.43371089783467	37.24250545439394
-80.4337102788583	37.24250742541573
-80.43301145450975	37.243205163888135
-80.43413551564079	37.24202452353809
-80.43402409988991	37.24191217449433
-80.4338767835082	37.24195947937527
-80.43367375925105	37.241860927506465
-80.43364652428971	37.24186585510297
-80.43354129830277	37.24194371108493
-80.4332417137282	37.24185797094842
-80.43289632490048	37.24190133378828
-80.43288889718377	37.241843188156416
-80.43492099668445	37.24120259771738
-80.43479472550013	37.24110995803405
-80.4348077240044	37.241086798095424
-80.43462141210988	37.240990216147
-80.43441529297075	37.24112227714743
-80.43436329895367	37.24110059550654
-80.43393496728922	37.24101978206273
-80.43383593106623	37.241121291618455
-80.43335189152631	37.241310512949596
-80.43326275892564	37.241328252425035
-80.43318848175836	37.24142779051535
-80.43539234720866	37.24010618990916
-80.43452578025743	37.240329907673896
-80.4345171145879	37.24033286429189
-80.43366540307012	37.240548697092315
-80.43363074039208	37.24055461031103
-80.43345247519065	37.239594198957725
-80.43349889842018	37.23954590704269
-80.43354965448448	37.23952570327314
-80.43383685953117	37.2393690006815
-80.4338814258315	37.239340419670555
-80.43440260395504	37.239018143383134
-80.43437784489929	37.23900434559083
-80.43350013637297	37.2395109200237
-80.43315660447443	37.23910437952778
-80.43312379872557	37.23906840674801
-80.43279326533131	37.23881413291102
-80.43271527430569	37.238622934189536
-80.432725177928	37.23858154058802
-80.43276603036999	37.238552959278486
-80.43304828360553	37.2383696444148
-80.43354098881495	37.2382119538528
-80.4335867930681	37.23818485075422
-80.43411292300279	37.23798970815688
-80.43471333010471	37.23789115109753
-80.43485321876969	37.23783595908801
-80.43490273688118	37.23781329092955
-80.43506614664916	37.23781329092955
-80.43532364082895	37.23849530384522
-80.43534221012077	37.23853472636846
-80.43545238791884	37.23882546684061
-80.43543381862703	37.23915661394456
-80.43363012141562	37.24055510307921
-80.43330082597414	37.24062803273803
-80.4332946362102	37.24063000380892
-80.43234636437501	37.240624090596114
-80.43234760232777	37.240622119525085
-80.43236121980844	37.24050089855736
-80.43235998185567	37.24014708990252
-80.43219162027657	37.24005346337892
-80.432090108148	37.239726262404105
-80.43206534909226	37.23971000087281
-80.43170324790191	37.23981446883082
-80.43162278097074	37.23961243161146
-80.43167972679898	37.23895112551114
-80.43173295876885	37.238873266438
-80.43234698335148	37.24062359782839
-80.43177752506922	37.24088574981845
-80.43177628711645	37.24089166301071
-80.43176390758858	37.24106708750364
-80.43179361845546	37.24127207740504
-80.43183570885023	37.24131544058197
-80.43177752506921	37.240885749818446
-80.43132072049063	37.24091728683851
-80.43091343402355	37.24076748587566
-80.43091219607079	37.240766500342026
-80.43052843070667	37.24091433024344
-80.43054328614012	37.24098528849314
-80.43053152558868	37.24102668077459
-80.43056618826674	37.24112424820527
-80.43054761897491	37.241314455055495
-80.43052533582475	37.24133416558247
-80.43050800448572	37.2416160255544
-80.43037182967912	37.24167417136148
-80.43037430558465	37.24168698314349
-80.43047829361879	37.241664316143115
-80.43048076952438	37.24173921577054
-80.43091281504728	37.24076748587563
-80.43023627384888	37.240783747178746
-80.43023627384888	37.240784239945455
-80.4300759589629	37.239819889334086
-80.43007595896295	37.23981988933408
-80.43035697424571	37.23974991553419
-80.43035449834012	37.23974794444029
-80.4304064923572	37.23894570494529
-80.4304071113336	37.23894274827288
-80.43043744117692	37.23833564241518
-80.43044053605887	37.23833564241518
-80.4311424552894	37.23810501975266
-80.4311486450533	37.238104034184204
-80.43193226916779	37.23786158395452
-80.4319335071206	37.2378605983829
-80.43286197171122	37.237564926311876
-80.43286073375843	37.237564926311876
-80.43360102952535	37.23733627244839
-80.43360226747815	37.23733430129138
-80.43420515048567	37.23714309881635
-80.43459262970815	37.23701891550577
-80.43420515048567	37.23714309881634
-80.43419277095778	37.23705143972593
-80.43406031000953	37.236756750067194
-80.43404297867052	37.23671338426767
-80.4338065296881	37.236145684227544
-80.43376567724611	37.23612202996643
-80.4336183608644	37.23574257517985
-80.43007533998659	37.23981988933406
-80.4292706706747	37.23994998129641
-80.42926695681639	37.23995195238502
-80.42875073050399	37.240034738060174
-80.42874082688171	37.240037694689754
-80.42807728418758	37.240145118818944
-80.42805500103742	37.240149060985914
-80.42743231078532	37.24025648495639
-80.42742983487975	37.240256484956376
-80.42705349723235	37.24021706333362
-80.42705473518515	37.24021804887443
-80.4270386417989	37.24026634035885
-80.42669325297119	37.24032350166774
-80.42671553612139	37.240482173349776
-80.42670563249908	37.24052455144435
-80.4262673972123	37.240734470491745
-80.42622283091197	37.240762065440414
-80.42549243876735	37.24103604331123
-80.42546148994765	37.24102815906987
-80.42545777608927	37.24031068965402
-80.42547882128663	37.24026732589902
-80.42548872490892	37.240097812799256
-80.4352479	37.2410033
-80.43563870086463	37.24022983767377
-80.4351966	37.2410801
-80.4351331	37.2410518
-80.43498690000001	37.241211799999995
-80.4348816	37.241401
-80.4349869	37.2412118
